"SubplotID","amplifier_rel_abund","diluter_rel_abund","intermediate_rel_abund","amplifier_abs_abund","diluter_abs_abund","intermediate_abs_abund"
"A1.2.2",0.142156862745098,0.0147058823529412,0.0257352941176471,9.66666666666667,1,1.75
"A1.2.4",0.202970297029703,0,0.0482673267326733,20.5,0,4.875
"A1.3.2",0.144444444444444,0.0666666666666667,0.0506172839506174,13,6,4.55555555555556
"A1.3.4",0.164383561643836,0,0.0494672754946728,12,0,3.61111111111111
"A1.4.1",0.228571428571429,0,0.025,16,0,1.75
"A1.4.3",0.302013422818792,0.0402684563758389,0.0223713646532438,22.5,3,1.66666666666667
"A1.5.1",0.148148148148148,0,0.0392156862745098,11.3333333333333,0,3
"A1.5.3",0.123566878980892,0,0.054140127388535,9.7,0,4.25
"A1.6.1",0,0.0291666666666667,0.177777777777778,0,1.75,10.6666666666667
"A1.6.3",0.291666666666667,0.0486111111111111,0.0590277777777778,21,3.5,4.25
"A2.1.1",0.471698113207547,0.00943396226415094,0.0542452830188679,25,0.5,2.875
"A2.1.3",0.231404958677686,0.0165289256198347,0.084297520661157,14,1,5.1
"A2.2.2",0.203125,0.015625,0.078125,13,1,5
"A2.2.4",0.234375,0.109375,0.0390625,15,7,2.5
"A2.5.1",0.462962962962963,0.0185185185185185,0.0194444444444444,25,1,1.05
"A2.5.3",0.161458333333333,0.0416666666666667,0.0902777777777777,7.75,2,4.33333333333333
"A2.6.2",0.093984962406015,0,0.0726817042606516,6.25,0,4.83333333333333
"A2.6.4",0.0958904109589042,0.0547945205479452,0.095890410958904,7,4,7
"A2.9.1",0.3125,0.0357142857142857,0.0245535714285714,17.5,2,1.375
"A2.9.3",0.143103448275862,0.0206896551724138,0.0362068965517242,10.375,1.5,2.625
"A3.2.2",0.125,0.0138888888888889,0.0512152777777778,9,1,3.6875
"A3.2.4",0.121428571428571,0.00714285714285714,0.0366071428571429,8.5,0.5,2.5625
"A3.3.1",0.056179775280899,0.0112359550561798,0.0674157303370786,2.5,0.5,3
"A3.3.3",0.137096774193548,0.0161290322580645,0.0841013824884793,8.5,1,5.21428571428571
"A3.5.2",0.153361344537815,0,0.046218487394958,9.125,0,2.75
"A3.5.4",0.310077519379845,0.00516795865633075,0.0254706533776301,20,0.333333333333333,1.64285714285714
"A3.7.2",0.0074074074074074,0.0518518518518519,0.0638888888888889,0.5,3.5,4.3125
"A3.7.4",0.135714285714286,0.00952380952380953,0.0285714285714286,9.5,0.666666666666667,2
"A3.9.2",0.272108843537415,0.0170068027210884,0.0925170068027211,20,1.25,6.8
"A3.9.4",0.28169014084507,0.0375586854460094,0.0428403755868545,30,4,4.5625
"A4.1.1",0.244047619047619,0.0357142857142857,0.0376984126984127,10.25,1.5,1.58333333333333
"A4.1.3",0.15748031496063,0.015748031496063,0.0344488188976378,10,1,2.1875
"A4.2.1",0.16260162601626,0,0.0663956639566395,10,0,4.08333333333333
"A4.2.3",0.175862068965517,0.0275862068965517,0.0951724137931035,12.75,2,6.9
"A4.3.2",0.0783898305084746,0,0.0702179176755446,4.625,0,4.14285714285714
"A4.3.3",0.425531914893617,0,0.049645390070922,30,0,3.5
"A4.5.1",0.454545454545455,0,0.0965909090909092,20,0,4.25
"A4.5.3",0.239316239316239,0.0170940170940171,0.0170940170940171,14,1,1
"A4.6.1",0.248484848484848,0.0136363636363636,0.00681818181818182,13.6666666666667,0.75,0.375
"A4.6.3",0.134259259259259,0.00694444444444444,0.0509259259259259,9.66666666666667,0.5,3.66666666666667
"A5.1.2",0.0392156862745098,0.0280112044817927,0.0504201680672269,2.33333333333333,1.66666666666667,3
"A5.1.4",0,0.0494505494505494,0.0865384615384616,0,4.5,7.875
"A5.2.2",0,0.0571428571428571,0.0777142857142858,0,5,6.8
"A5.2.4",0.0595238095238095,0.0257936507936508,0.0853174603174604,5,2.16666666666667,7.16666666666667
"A5.4.1",0.0823529411764706,0.0130718954248366,0.0441176470588235,6.3,1,3.375
"A5.4.3",0.0701149425287355,0,0.0656814449917898,6.1,0,5.71428571428571
"A5.5.2",0.149700598802395,0.00598802395209581,0.028942115768463,12.5,0.5,2.41666666666667
"A5.5.4",0.125730994152047,0.105263157894737,0.0426065162907268,7.16666666666667,6,2.42857142857143
"A5.8.2",0.0476190476190475,0,0.0748299319727891,3.5,0,5.5
"A5.8.4",0.108333333333333,0,0.0688888888888888,9.75,0,6.2
"A6.4.1",0.0392156862745098,0.0239651416122004,0.0905695611577964,3,1.83333333333333,6.92857142857143
"A6.4.3",0.19620253164557,0.0506329113924051,0.0506329113924051,15.5,4,4
"A6.5.1",0,0.00617283950617284,0.0652557319223987,0,0.5,5.28571428571429
"A6.5.3",0.0347648261758691,0,0.0473269062226117,2.83333333333333,0,3.85714285714286
"A6.6.2",0.0866013071895425,0.0130718954248366,0.0555555555555556,6.625,1,4.25
"A6.6.4",0.156716417910448,0.0223880597014925,0.0190713101160862,10.5,1.5,1.27777777777778
"A6.7.1",0,0.0335570469798658,0.109619686800895,0,2.5,8.16666666666667
"A6.7.3",0,0.0506329113924051,0.0949367088607596,0,4,7.5
"A6.8.1",0,0.025974025974026,0.102968460111317,0,2,7.92857142857143
"A6.8.3",0,0.0368098159509202,0.120654396728016,0,3,9.83333333333333
"I1.2.2",0.25,0.0119047619047619,0.0357142857142857,21,1,3
"I1.2.4",0.264705882352941,0.0470588235294118,0.0137254901960784,22.5,4,1.16666666666667
"I1.3.1",0.324074074074074,0.0555555555555556,0.0972222222222221,17.5,3,5.25
"I1.3.3",0.318181818181818,0,0.0984848484848486,10.5,0,3.25
"I1.5.2",0.162213740458015,0,0.0534351145038169,10.625,0,3.5
"I1.5.4",0.279503105590062,0.0248447204968944,0.0263975155279503,22.5,2,2.125
"I1.6.1",0.405405405405405,0,0.00675675675675675,15,0,0.25
"I1.6.3",0.333333333333333,0.0808080808080808,0.0707070707070705,16.5,4,3.5
"I1.7.2",0.119266055045872,0.00458715596330276,0.0107033639143731,6.5,0.25,0.583333333333333
"I1.7.4",0.0555555555555555,0.0416666666666667,0.046875,2.66666666666667,2,2.25
"I2.1.1",0.366666666666666,0.0222222222222222,0.0111111111111111,16.5,1,0.5
"I2.1.3",0.0864197530864197,0,0.0661375661375661,4.66666666666667,0,3.57142857142857
"I2.4.2",0.106349206349206,0.0158730158730159,0.0277777777777778,6.7,1,1.75
"I2.4.4",0.177966101694915,0.038135593220339,0.0322033898305084,10.5,2.25,1.9
"I2.5.2",0.155038759689923,0.0258397932816537,0.0310077519379845,10,1.66666666666667,2
"I2.5.4",0.185534591194969,0,0.0235849056603774,9.83333333333333,0,1.25
"I2.6.2",0.193989071038251,0.0102459016393443,0.0307377049180328,11.8333333333333,0.625,1.875
"I2.6.4",0.0701754385964914,0.0175438596491228,0.074074074074074,4,1,4.22222222222222
"I2.9.1",0.200647249190938,0,0.0372168284789644,10.3333333333333,0,1.91666666666667
"I2.9.3",0.236607142857143,0.0178571428571429,0.0535714285714286,13.25,1,3
"I3.1.1",0.196868008948546,0.0134228187919463,0.0480984340044743,14.6666666666667,1,3.58333333333333
"I3.1.3",0.222222222222222,0.00641025641025641,0.0294871794871795,17.3333333333333,0.5,2.3
"I3.4.2",0.108843537414966,0.0680272108843537,0.138775510204082,8,5,10.2
"I3.4.4",0,0.0253623188405797,0.140096618357488,0,1.75,9.66666666666667
"I3.5.1",0,0.00671140939597315,0.0947986577181209,0,0.5,7.0625
"I3.5.3",0.146596858638743,0.0104712041884817,0.0549738219895288,14,1,5.25
"I3.6.2",0.0373563218390804,0.0229885057471264,0.0656814449917899,3.25,2,5.71428571428571
"I3.6.4",0.0186567164179104,0,0.0671641791044776,1.25,0,4.5
"I3.7.2",0.128676470588235,0.0294117647058824,0.0352941176470589,8.75,2,2.4
"I3.7.4",0,0.0153846153846154,0.0875,0,1,5.6875
"I4.1.2",0.177514792899408,0,0.256410256410256,15,0,21.6666666666667
"I4.1.4",0.0900900900900901,0,0.21021021021021,10,0,23.3333333333333
"I4.5.1",0.0918367346938776,0.0102040816326531,0.433673469387755,9,1,42.5
"I4.5.3",0.229885057471264,0,0.170977011494253,20,0,14.875
"I4.7.2",0,0,0.0703125,0,0,5.625
"I4.7.4",0.0087719298245614,0.00657894736842105,0.110526315789474,0.666666666666667,0.5,8.4
"I4.8.1",0.055944055944056,0.041958041958042,0.0391608391608392,4,3,2.8
"I4.8.3",0,0.0387096774193548,0.0311827956989248,0,3,2.41666666666667
"I4.9.2",0.323529411764706,0.0392156862745098,0.0274509803921569,16.5,2,1.4
"I4.9.4",0.221428571428572,0.0142857142857143,0.0542857142857144,7.75,0.5,1.9
"I5.2.1",0.194756554307116,0,0.0168539325842696,8.66666666666667,0,0.75
"I5.2.3",0.0825242718446602,0.0873786407766989,0.0711974110032361,4.25,4.5,3.66666666666667
"I5.5.1",0.359712230215827,0.0287769784172662,0.0287769784172663,25,2,2
"I5.5.3",0.320610687022901,0,0.0473282442748092,21,0,3.1
"I5.6.1",0.0838709677419355,0.032258064516129,0.0529953917050691,5.2,2,3.28571428571429
"I5.6.3",0.0632603406326033,0.0340632603406326,0.0992700729927007,4.33333333333333,2.33333333333333,6.8
"I5.7.1",0,0,0.176573426573427,0,0,12.625
"I5.7.3",0.0707070707070707,0.0505050505050505,0.228956228956229,7,5,22.6666666666667
"I5.8.1",0,0.0078740157480315,0.0933633295838021,0,0.5,5.92857142857143
"I5.8.3",0.130718954248366,0.0392156862745098,0.141176470588235,10,3,10.8
"I6.2.2",0.0363636363636363,0.0090909090909091,0.106818181818182,2,0.5,5.875
"I6.2.4",0.075187969924812,0,0.109022556390977,5,0,7.25
"I6.4.2",0.138888888888889,0.0125,0.028125,8.33333333333333,0.75,1.6875
"I6.4.4",0.1,0,0.0142857142857143,5.5,0,0.785714285714286
"I6.5.2",0.106995884773662,0.074074074074074,0.0458553791887126,4.33333333333333,3,1.85714285714286
"I6.5.4",0.277227722772277,0.0594059405940594,0.0379537953795379,14,3,1.91666666666667
"I6.7.2",0.194139194139194,0.043956043956044,0,8.83333333333333,2,0
"I6.7.4",0,0,0.02,0,0,1.5
"I6.9.2",0.114583333333333,0.0104166666666667,0.0895833333333334,5.5,0.5,4.3
"I6.9.4",0.0988372093023257,0.00775193798449613,0.0348837209302326,4.25,0.333333333333333,1.5
"I7.1.1",0.0849673202614378,0.0441176470588235,0.0980392156862745,4.33333333333333,2.25,5
"I7.1.3",0.232558139534884,0.0465116279069768,0.0174418604651163,10,2,0.75
"I7.2.2",0.174863387978142,0,0.0355191256830601,5.33333333333333,0,1.08333333333333
"I7.2.4",0.0132743362831858,0.117994100294985,0.0641592920353983,0.75,6.66666666666667,3.625
"I7.3.1",0.280373831775701,0.0186915887850467,0.0240320427236315,15,1,1.28571428571429
"I7.3.3",0.166666666666667,0,0.0873015873015873,7,0,3.66666666666667
"I7.5.1",0,0.0111111111111111,0.0972222222222221,0,0.5,4.375
"I7.5.3",0.347826086956522,0.130434782608696,0.0942028985507246,8,3,2.16666666666667
"I7.7.2",0.340425531914894,0,0.00797872340425532,16,0,0.375
"I7.7.4",0.229007633587787,0.122137404580153,0.0916030534351146,15,8,6
"N1.1.2",0.173708920187794,0.0140845070422535,0.0366197183098592,12.3333333333333,1,2.6
"N1.1.4",0.191780821917808,0.00684931506849315,0.067351598173516,14,0.5,4.91666666666667
"N1.2.2",0.142857142857143,0.0571428571428571,0.0492063492063491,7.5,3,2.58333333333333
"N1.2.4",0,0.0333333333333333,0.0641975308641975,0,1.5,2.88888888888889
"N1.4.2",0.0285714285714286,0.0666666666666665,0.0673469387755101,2,4.66666666666667,4.71428571428571
"N1.4.4",0,0,0.0795107033639143,0,0,4.33333333333333
"N1.5.2",0.0155038759689922,0.00775193798449612,0.0732127476313523,1,0.5,4.72222222222222
"N1.5.4",0.465116279069767,0.0155038759689923,0.0355297157622739,40,1.33333333333333,3.05555555555556
"N1.9.2",0.132768361581921,0.0169491525423729,0.072639225181598,7.83333333333333,1,4.28571428571429
"N1.9.4",0.093939393939394,0.0113636363636364,0.0429292929292929,6.2,0.75,2.83333333333333
"N2.2.2",0.204081632653061,0.0272108843537415,0.053665910808768,15,2,3.94444444444444
"N2.2.4",0.133771929824561,0.0131578947368421,0.043859649122807,7.625,0.75,2.5
"N2.5.2",0,0,0.0697674418604651,0,0,4.5
"N2.5.4",0,0.00649350649350649,0.0995670995670997,0,0.5,7.66666666666667
"N2.6.1",0.173913043478261,0.0202898550724638,0.121739130434783,10,1.16666666666667,7
"N2.6.3",0.1,0.0208333333333333,0.0785714285714286,6,1.25,4.71428571428571
"N2.7.1",0.00217864923747277,0.0261437908496732,0.129411764705882,0.166666666666667,2,9.9
"N2.7.3",0.0201342281879194,0.0335570469798658,0.135346756152125,1.5,2.5,10.0833333333333
"N2.9.1",0,0.0222222222222222,0.0952380952380952,0,1.66666666666667,7.14285714285714
"N2.9.3",0,0.0625,0.0821428571428571,0,2.5,3.28571428571429
"N3.1.1",0.0447761194029851,0.0149253731343284,0.0755597014925374,3,1,5.0625
"N3.1.3",0.142857142857143,0,0.0454545454545455,5.5,0,1.75
"N3.2.2",0.28688524590164,0,0.051912568306011,17.5,0,3.16666666666667
"N3.2.4",0.303030303030303,0,0.0437710437710438,15,0,2.16666666666667
"N3.3.2",0.0073529411764706,0.0220588235294118,0.0852941176470588,0.25,0.75,2.9
"N3.3.4",0.11038961038961,0.012987012987013,0.0714285714285715,4.25,0.5,2.75
"N3.5.2",0.0526315789473684,0.0263157894736842,0.184210526315789,2,1,7
"N3.5.4",0.0582010582010583,0.317460317460317,0.142857142857143,1.83333333333333,10,4.5
"N3.8.1",0.3,0.035,0.078,15,1.75,3.9
"N3.8.3",0.232558139534884,0.0232558139534884,0.0837209302325582,10,1,3.6
"N4.1.1",0.133333333333333,0.0518518518518519,0.0355555555555555,9,3.5,2.4
"N4.1.3",0.217877094972067,0.00558659217877095,0.0481843575418994,19.5,0.5,4.3125
"N4.2.2",0.2,0.08,0.025,7.5,3,0.9375
"N4.2.4",0.120833333333333,0.0875,0.0428571428571429,4.83333333333333,3.5,1.71428571428571
"N4.4.1",0.0285714285714285,0.0142857142857143,0.0733333333333333,1.5,0.75,3.85
"N4.4.3",0,0.024822695035461,0.110638297872341,0,1.16666666666667,5.2
"N4.5.1",0.0373134328358209,0,0.0522388059701493,1.25,0,1.75
"N4.5.3",0.00869565217391304,0.00434782608695652,0.0577075098814229,0.5,0.25,3.31818181818182
"N4.6.1",0.0842105263157895,0.0105263157894737,0.0601503759398496,4,0.5,2.85714285714286
"N4.6.3",0.048148148148148,0.0111111111111111,0.0444444444444444,2.16666666666667,0.5,2
"N5.3.2",0.245901639344263,0,0.0278688524590164,15,0,1.7
"N5.3.4",0.0707964601769913,0.0353982300884956,0.0685840707964602,4,2,3.875
"N5.4.2",0.0340909090909091,0.0340909090909091,0.0811688311688311,1.5,1.5,3.57142857142857
"N5.4.4",0.032258064516129,0.032258064516129,0.0706605222734254,1.5,1.5,3.28571428571429
"N5.5.2",0.078125,0.015625,0.096875,2.5,0.5,3.1
"N5.5.4",0.219047619047619,0.019047619047619,0.019047619047619,11.5,1,1
"N5.6.2",0.032258064516129,0.0645161290322581,0.0591397849462365,1.5,3,2.75
"N5.6.4",0.0851063829787234,0.0638297872340425,0.0790273556231003,4,3,3.71428571428571
"N5.9.1",0.074074074074074,0.0148148148148148,0.0607407407407408,5,1,4.1
"N5.9.3",0.188679245283019,0.00943396226415094,0.0981132075471698,10,0.5,5.2
"O3.3.2",0.0523560209424084,0.0209424083769634,0.0802792321116929,5,2,7.66666666666667
"O3.3.4",0.33112582781457,0.0264900662251656,0.090066225165563,25,2,6.8
"O3.5.2",0.0516129032258065,0,0.21505376344086,4,0,16.6666666666667
"O3.5.4",0.0449438202247191,0.0617977528089887,0.102247191011236,4,5.5,9.1
"O3.6.2",0.173410404624277,0.0289017341040462,0.0443159922928709,15,2.5,3.83333333333333
"O3.6.4",0.241935483870967,0,0.0927419354838709,15,0,5.75
"O3.8.1",0.480769230769231,0,0.0841346153846153,50,0,8.75
"O3.8.3",0.128205128205128,0,0.104700854700855,10,0,8.16666666666667
"O3.9.2",0.172043010752688,0,0.10752688172043,13.3333333333333,0,8.33333333333333
"O3.9.4",0.186666666666667,0.016,0.0826666666666667,11.6666666666667,1,5.16666666666667
"O4.1.1",0.0344827586206897,0,0.126436781609195,3,0,11
"O4.1.3",0.0641025641025641,0.00641025641025641,0.144871794871795,5,0.5,11.3
"O4.3.1",0.106896551724138,0.0137931034482759,0.0468965517241379,7.75,1,3.4
"O4.3.3",0.145454545454546,0.096969696969697,0.0327272727272727,8,5.33333333333333,1.8
"O4.5.1",0.0512820512820513,0,0.133333333333333,2,0,5.2
"O4.5.3",0.173913043478261,0,0.0782608695652173,10,0,4.5
"O4.6.2",0.0790123456790123,0.0277777777777778,0.0222222222222222,5.33333333333333,1.875,1.5
"O4.6.4",0.170542635658915,0.0193798449612403,0.0719822812846068,11,1.25,4.64285714285714
"O4.9.1",0,0.0144230769230769,0.116758241758242,0,0.75,6.07142857142857
"O4.9.3",0.0373563218390804,0.0114942528735632,0.101149425287356,3.25,1,8.8
"U1.4.1",0,0.0317460317460317,0.132275132275132,0,2,8.33333333333333
"U1.4.3",0,0.0333333333333333,0.133333333333333,0,1,4
"U1.5.1",0,0.040983606557377,0.081967213114754,0,1.25,2.5
"U1.5.3",0,0.0253164556962025,0.0784810126582278,0,1,3.1
"U1.6.1",0.0533980582524272,0.116504854368932,0.0631067961165048,2.75,6,3.25
"U1.6.3",0,0.0560747663551401,0.0498442367601246,0,3,2.66666666666667
"U1.8.2",0.0204081632653061,0.0289115646258503,0.0272108843537415,1.5,2.125,2
"U1.8.4",0.00892857142857145,0.0133928571428572,0.0770089285714285,0.5,0.75,4.3125
"U1.9.2",0.0857142857142858,0.025,0.0428571428571429,6,1.75,3
"U1.9.4",0.124031007751938,0.310077519379845,0.0775193798449612,8,20,5
"U2.3.1",0.111111111111111,0.0427350427350427,0.0495726495726496,6.5,2.5,2.9
"U2.3.3",0.0530303030303031,0.0454545454545455,0.0643939393939395,3.5,3,4.25
"U2.5.2",0.05,0.0222222222222222,0.0697916666666667,3,1.33333333333333,4.1875
"U2.5.4",0.0197368421052631,0,0.0723684210526316,1.5,0,5.5
"U2.6.1",0,0.0274869109947644,0.0523560209424084,0,2.625,5
"U2.6.3",0.0735294117647059,0,0.0669934640522876,5,0,4.55555555555556
"U2.7.1",0.0141843971631206,0.0851063829787234,0.0729483282674772,1,6,5.14285714285714
"U2.7.3",0,0,0.093121693121693,0,0,6.28571428571429
"U2.8.2",0,0.109589041095891,0.0981735159817352,0,8,7.16666666666667
"U2.8.4",0,0.107981220657277,0.0610328638497653,0,7.66666666666667,4.33333333333333
