Species,Genus
Achillea millefolium,Achillea
Achnatherum calamagrostis,Achnatherum
Acinos alpinus,Acinos
Acinos arvensis,Acinos
Aconitum lycoptonum,Aconitum
Aconitum napellus,Aconitum
Aegopodium podagraria,Aegopodium
Agrimonia eupatoria,Agrimonia
Agrostis alpina,Agrostis
Agrostis capillaris,Agrostis
Agrostis gigantea,Agrostis
Agrostis schraderiana,Agrostis
Ajuga pyramidalis,Ajuga
Ajuga reptans,Ajuga
Alchemilla conjuncta,Alchemilla
Alchemilla xanthochlora,Alchemilla
Alchemilla pratensis,Alchemilla
Alchemilla nitida,Alchemilla
Allium carinatum ,Allium
Anacamptis pyramidalis,Anacamptis
Androsace chamaejasme,Androsace
Androsace obtusifolia,Androsace
Anemone narcissiflora,Anemone
Antennaria dioica,Antennaria
Anthericum ramosum,Anthericum
Anthoxanthum alpinum,Anthoxanthum
Anthoxanthum odoratum,Anthoxanthum
Anthriscus sylvestris,Anthriscus
Anthyllis vulneraria,Anthyllis
Aquilegia atrata,Aquilegia
Arabis ciliata,Arabis
Arabis sp.,Arabis
Arenaria cilliata,Arenaria
Arenaria serpyllifolia,Arenaria
Arnica montana,Arnica
Arrhentherum elatius,Arrhentherum
Asperula cynanchica,Asperula
Aster alpinus,Aster
Aster amellus,Aster
Aster bellidiastrum,Aster
Astragalus alpinus,Astragalus
Astragalus glycyphyllos,Astragalus
Avenula pubescens,Avenula
Bellis perennis,Bellis
Berberis vulgaris,Berberis
Bothriochloa ischaemum,Bothriochloa
Botrychium lunaria,Botrychium
Brachypodium pinnatum,Brachypodium
Briza media,Briza
Bromus erectus,Bromus
Bromus hordeaceus,Bromus
Bromus inermis,Bromus
Buphthalmum salicifolium,Buphthalmum
Calystegia sepium,Calystegia
Campanula cochlerarifolia,Campanula
Campanula glomerata,Campanula
Campanula patula,Campanula
Campanula rapunculoides,Campanula
Campanula rotundifolia,Campanula
Campanula scheuchzeri,Campanula
Campanula scheutzerii,Campanula
Carduus defloratus,Carduus
Carduus nutans,Carduus
Carex capilaris,Carex
Carex caryophyllea,Carex
Carex flacca,Carex
Carex montana,Carex
Carex ornithopoda,Carex
Carex parviflora,Carex
Carex sempervirens,Carex
Carex sp.,Carex
Carlina acaulis,Carlina
Carlina vulgaris,Carlina
Carum carvi,Carum
Centaurea jacea,Centaurea
Centaurea montana,Centaurea
Centaurea scabiosa,Centaurea
Centaurium erythraea,Centaurium
Cephalantera longifolia,Cephalantera
Cerastium alpinum,Cerastium
Cerastium fontanum,Cerastium
Cetraria islandica,Cetraria
Chenopodium album,Chenopodium
Chenopodium bonus-henricus,Chenopodium
Cichorium intybus,Cichorium
Cirsium acaule,Cirsium
Cirsium arvense,Cirsium
Cirsium spinosissimum,Cirsium
Clinopodium vulgare,Clinopodium
Colchicum autumnale,Colchicum
Colchicum autumunale,Colchicum
Conyza canadensis,Conyza
Crepis biennis,Crepis
Crepis sp,Crepis
Crepis sp./Leontodon sp.,Crepis
Crocus albiflorus,Crocus
Cynosurus cristatus,Cynosurus
Dactylis glomerata,Dactylis
Danthonia decumbens,Danthonia
Daphne striata,Daphne
Daucus carota,Daucus
Deschampsia cespitosa,Deschampsia
Dianthus superbus,Dianthus
Dianthus sylvestris,Dianthus
Digitaria sanguinalis,Digitaria
Dryas octopetala,Dryas
Echinochloa crus-galli,Echinochloa
Echium vulgare,Echium
Elyna myosuorides,Elyna
Erica carnea,Erica
Erigeron neglectus,Erigeron
Erigeron sp.,Erigeron
Erodium cicutarium,Erodium
Euphorbia cyparissias,Euphorbia
Euphrasia minima,Euphrasia
Euphrasia rostkoviana montana,Euphrasia
Euphrasia salisburgensis,Euphrasia
Euphrasia sp,Euphrasia
Festuca arundinacea,Festuca
Festuca ovina,Festuca
Festuca quadriflora,Festuca
Festuca rubra,Festuca
Filipendula ulmaria,Filipendula
Fragaria vesca,Fragaria
Gagea fragifera,Gagea
Galium mollugo,Galium
Galium sp,Galium
Galium verum,Galium
Gentiana acaulis,Gentiana
Gentiana brachyphylla,Gentiana
Gentiana campestris,Gentiana
Gentiana clusii,Gentiana
Gentiana sp,Gentiana
Gentiana verna,Gentiana
Geranium columbinum,Geranium
Geranium pyrenaicum,Geranium
Geranium robertianum,Geranium
Geranium sylvaticum,Geranium
Geum montanum,Geum
Globularia nudicaulis,Globularia
Gymnadenia conopsea,Gymnadenia
Helianthemum alpestre,Helianthemum
Helianthemum nummularium,Helianthemum
Helictotrichon pubescens,Helictotrichon
Helictotrichon versicolor,Helictotrichon
Helictrorichon pubescens,Helictrorichon
Hepatica nobilis,Hepatica
Hieracium lactucella,Hieracium
Hieracium lacusella,Hieracium
Hieracium pilosella,Hieracium
Hieracium sp,Hieracium
Hippocrepis comosa,Hippocrepis
Homogyne alpina,Homogyne
Hordeum murinum,Hordeum
Hypericum maculatum,Hypericum
Hypericum perforatum,Hypericum
Knautia arvensis,Knautia
Kobresia myosuroides,Kobresia
Koeleria pyramidata,Koeleria
Lamium maculatum,Lamium
Larix decidua,Larix
Laserpitium siler,Laserpitium
Lathyrus niger,Lathyrus
Lathyrus pratense,Lathyrus
Lathyrus vernus,Lathyrus
Leontodon hispidus,Leontodon
Leucanthemopsis alpina,Leucanthemopsis
Leucanthemum vulgare,Leucanthemum
Ligusticum mutellina,Ligusticum
Ligusticum mutellinoides,Ligusticum
Ligustrum vulgare,Ligustrum
Linum catharticum,Linum
Lithospermum arvense,Lithospermum
Loiseleuria procumbens,Loiseleuria
Lolium perenne,Lolium
Lotus corniculatus,Lotus
Lotus maritimus,Lotus
Luzula campestris,Luzula
Luzula nivea/luzuloides,Luzula
Luzula suddetica,Luzula
Lysimachia nummularia,Lysimachia
Malva neglecta,Malva
Medicago falcata,Medicago
Medicago lupulina,Medicago
Medicago minima,Medicago
Medicago sativas.falcata,Medicago
Melanpyrum pratense,Melanpyrum
Minuartia sedoides,Minuartia
Minuartia verna,Minuartia
Molinia caerulae,Molinia
Myosotis alpestris,Myosotis
Nardus stricta,Nardus
Odontites luteus,Odontites
Onobrychis sp,Onobrychis
Ononis spinosa,Ononis
Ophrys sphegoides,Ophrys
Orchis mascula,Orchis
Orchis militaris,Orchis
Orchis ustulata,Orchis
Origanum vulgare,Origanum
Oxyria digyna,Oxyria
Parnassia palustris,Parnassia
Pastinaca sativa,Pastinaca
Pedicularis verticillata,Pedicularis
Petasites alba,Petasites
Peucedaum oreoselinum,Peucedaum
Phleum pratense,Phleum
Phyteuma hemisphaericum,Phyteuma
Phyteuma orbiculare,Phyteuma
Picea abies,Picea
Pimpinella saxifraga,Pimpinella
Pilosella lactucella,Pilosella
Pilosella officinarum,Pilosella
Pilosella sp,Pilosella
Plantago alpina,Plantago
Plantago atrata,Plantago
Plantago lanceolata,Plantago
Plantago major,Plantago
Plantago media,Plantago
Platanthera chlorantha,Platanthera
Poa alpina,Poa
Poa annua,Poa
Poa badensis,Poa
Poa pratensis,Poa
Polygala alpestris,Polygala
Polygala chamaebuxus,Polygala
Polygala comosa,Polygala
Polygala vulgaris,Polygala
Polygonatum odoratum,Polygonatum
Polygonum aviculare,Polygonum
Polygonum viviparum,Polygonum
Potentilla anserina,Potentilla
Potentilla aurea,Potentilla
Potentilla crantzii,Potentilla
Potentilla cranzii,Potentilla
Potentilla erecta,Potentilla
Primula auricula,Primula
Primula elatior,Primula
Primula farinosa,Primula
Primula integrifolia,Primula
Primula veris,Primula
Prunella grandiflora,Prunella
Prunella vulgaris,Prunella
Pteridium aquilinum,Pteridium
Pulsatilla alpina subsp. alpina,Pulsatilla
Pulsatilla vernalis,Pulsatilla
Pulsatilla,Pulsatilla
Anemone pulsatilla,Pulsatilla
Ranuculus repens,Ranuculus
Ranunculus acris,Ranunculus
Ranunculus alpestris,Ranunculus
Ranunculus bulbosus,Ranunculus
Ranunculus montanus,Ranunculus
Ranunculus tuberosus,Ranunculus
Reseda lutea,Reseda
Rhinanthus alectorolophus,Rhinanthus
Rubus fruticosus,Rubus
Rubus idaeus,Rubus
Rubus ideaeus,Rubus
Rubus saxatilis,Rubus
Rumex acetosella,Rumex
Rumex alpestris,Rumex
Rumex alpinus,Rumex
Sagina saginoides,Sagina
Salix herbacea,Salix
Salix reticulata,Salix
Salix retusa,Salix
Salix serpillifolia,Salix
Salvia pratensis,Salvia
Sanguisorba minor,Sanguisorba
Saponaria ocymoides,Saponaria
Scabiosa columbaria,Scabiosa
Scabiosa lucida,Scabiosa
Sedum album,Sedum
Selaginella selaginoides,Selaginella
Senecio alpinus,Senecio
Seseli annuum,Seseli
Sesleria caerulea,Sesleria
Setaria viridis,Setaria
Sibbaldia procumbens,Sibbaldia
Silene acaulis,Silene
Silene nutans,Silene
Silene vulgaris,Silene
Solanum dulcamara,Solanum
Soldanella alpina,Soldanella
Stachys officinalis,Stachys
Stachys recta,Stachys
Stellaria media,Stellaria
Taraxacum officinale,Taraxacum
Taraxacum campylodes,Taraxacum
Teucrium chamaedris,Teucrium
Teucrium chamaedrys,Teucrium
Teucrium montanum,Teucrium
Thalictrum minor,Thalictrum
Thesium alpinum,Thesium
Thesium bavarum,Thesium
Thymus praecox polytrichus,Thymus
Thymus pulegioides,Thymus
Thymus serpyllum,Thymus
Thymus serpyllus,Thymus
Thymus sp.,Thymus
Tofieldia calyculata,Tofieldia
Tragopogon pratensis,Tragopogon
Trifolium aureum,Trifolium
Trifolium badium,Trifolium
Trifolium montanum,Trifolium
Trifolium pratense,Trifolium
Trifolium repens,Trifolium
Trifolium thalii,Trifolium
Trisetum flavescens,Trisetum
Trollius europaeus,Trollius
Tussilago farfara,Tussilago
Urtica dioica,Urtica
Vaccinium myrtillus,Vaccinium
Vaccinium vitis-idaea,Vaccinium
Vaccinium vitis,Vaccinium
Vaccinium vitis-idaea subsp. minus,Vaccinium
Valeriana montana,Valeriana
Valerianella locusta,Valerianella
Veratrum album,Veratrum
Verbena officinalis,Verbena
Veronica aphylla,Veronica
Veronica chamaedrys,Veronica
Veronica fruticans,Veronica
Veronica officinalis,Veronica
Veronica persica,Veronica
Veronica spicata,Veronica
Veronica teucrium,Veronica
Vicia cracca,Vicia
Vicia pratensis,Vicia
Vicia sepium,Vicia
Vincetoxicum hirundinaria,Vincetoxicum
Viola calcarata,Viola
Viola hirta,Viola
Viola sp,Viola
Viola tricolor,Viola