species,genus,family
Achillea millefolium,Achillea,Asteraceae
Acinos alpinus,Acinos,Lamiaceae
Aegopodium podagraria,Aegopodium,Apiaceae
Agrimonia eupatoria,Agrimonia,Rosaceae
Agrostis capillaris,Agrostis,Poaceae
Agrostis stolonifera,Agrostis,Poaceae
Agrostis schraderiana,Agrostis,Poaceae
Agrostis sp,Agrostis,Poaceae
Ajuga reptans,Ajuga,Lamiaceae
Alchemilla sp,Alchemilla,Rosaceae
Anthericum ramosum,Anthericum,Asparagaceae
Anthyllis vulneraria,Anthyllis,Fabaceae
Arabis sp,Arabis,Brassicaceae
Arabidopsis sp,Arabidopsis,Brassicaceae
Arabis ciliata,Arabis,Brassicaceae
Arenaria serpyllifolia,Arenaria,Caryophyllaceae
Asperula cynanchica,Asperula,Rubiaceae
Aster bellidiastrum,Aster,Asteraceae
Asteraceae sp,Asteraceae,Asteraceae
Bellis perennis,Bellis,Asteraceae
Persicaria vivipara,Bistorta,Polygonaceae
Briza media,Briza,Poaceae
Brachypodium pinnatum,Brachypodium,Poaceae
Bromus hordeaceus,Bromus,Poaceae
Bromus sp,Bromus,Poaceae
Bromus erectus,Bromus,Poaceae
Bromus inermis,Bromus,Poaceae
Buphthalmum salicifolium,Buphthalmum,Asteraceae
Campanula schleuzerii,Campanula,Campanulaceae
Campanula rotundifolia,Campanula,Campanulaceae
Campanula glomerata,Campanula,Campanulaceae
Campanula sp ,Campanula,Campanulaceae
Carduus sp,Carduus,Asteraceae
Carduus defloratus,Carduus,Asteraceae
Carlina sp,Carlina,Asteraceae
Carlina acaulis,Carlina,Asteraceae
Carlina vulgaris,Carlina,Asteraceae
Carex sp,Carex,Cyperaceae
Carex flacca,Carex,Cyperaceae
Carex sempervirens,Carex,Cyperaceae
Carum carvi,Carum,Apiaceae
Centaurea jacea,Centaurea,Asteraceae
Centaurea scabiosa,Centaurea,Asteraceae
Cerastium fontanum,Cerastium,Caryophyllaceae
Cerastium sp,Cerastium,Caryophyllaceae
Cirsium arvense,Cirsium,Asteraceae
Cirsium acaule,Cirsium,Asteraceae
Cirsium sp,Cirsium,Asteraceae
Clinopodium vulgare,Clinopodium,Lamiaceae
Crepis sp,Crepis,Asteraceae
Colchicum autumnale,Colchicum,Colchicaceae
Cynosurus cristatus,Cynosurus,Poaceae
Dactylis glomerata,Dactylis,Poaceae
Danthonia decumbens,Danthonia,Poaceae
Daucus carota,Daucus,Apiaceae
Deschampsia cespitosa,Deschampsia,Poaceae
Aster amellus,Aster,Asteraceae
Echium vulgare,Echium,Boraginaceae
Erica herbacea,Erica,Ericaceae
Euphorbia cyparissias,Euphorbia,Euphorbiaceae
Euphrasia sp,Euphrasia,Orobanchaceae
Festuca rubra,Festuca,Poaceae
Festuca ovina,Festuca,Poaceae
Fragaria vesca,Fragaria,Rosaceae
Galium sp,Galium,Rubiaceae
Galium verum,Galium,Rubiaceae
Gentiana sp,Gentiana,Gentianaceae
Geranium columbinum,Geranium,Geraniaceae
Geranium sylvaticum,Geranium,Geraniaceae
Globularia sp,Globularia,Plantaginaceae
Helianthemum nummularium,Helianthemum,Cistaceae
Hepatica nobilis,Hepatica,Ranunculaceae
Hieracium sp,Hieracium,Asteraceae
Hippocrepis comosa,Hippocrepis,Fabaceae
Homogyne alpina,Homogyne,Asteraceae
Hypericum sp,Hypericum,Hypericaceae
Hypericum perforatum,Hypericum,Hypericaceae
Juniperus communis,Juniperus,Cupressaceae
Knautia arvensis,Knautia,Caprifoliaceae
Larix decidua,Larix,Pinaceae
Lathyrus pratensis,Lathyrus,Fabaceae
Leontodon sp,Leontodon,Asteraceae
Scorzoneroides autumnalis,Scorzoneroides,Asteraceae
Leontodon hispidus,Leontodon,Asteraceae
Leucanthemum vulgare,Leucanthemum,Asteraceae
Linum catharticum,Linum,Linaceae
Lolium perenne,Lolium,Poaceae
Lotus corniculatus,Lotus,Fabaceae
Lotus maritimus,Lotus,Fabaceae
Luzula sp,Luzula,Juncaceae
Maianthemum bifolium,Maianthemum,Asparagaceae
Medicago lupulina,Medicago,Fabaceae
Medicago falcata,Medicago,Fabaceae
Molinia caerulea,Molinia,Poaceae
Ononis spinosa,Ononis,Fabaceae
Orchidaceae sp,Orchidaceae,Orchidaceae
Neotinea ustulata,Neotinia,Orchidaceae
Pastinaca sativa,Pastinaca,Apiaceae
Peucedanum oreoselinum,Peucedanum,Apiaceae
Phleum pratense,Phleum,Poaceae
Hieracium pilosella,Hieracium,Asteraceae
Hieracium hoppeanum,Hieracium,Asteraceae
Hieracium lactucella,Hieracium,Asteraceae
Hieracium piloselloides,Hieracium,Asteraceae
Pimpinella saxifraga,Pimpinella,Apiaceae
Pinus sp,Pinus,Pinaceae
Plantago atrata,Plantago,Plantaginaceae
Plantago lanceolata,Plantago,Plantaginaceae
Plantago major,Plantago,Plantaginaceae
Plantago media,Plantago,Plantaginaceae
Poa sp,Poa,Poaceae
Poa badensis,Poa,Poaceae
Poa annua,Poa,Poaceae
Poa pratensis,Poa,Poaceae
Poaceae sp,,Poaceae
Koeleria sp,Koeleria,Poaceae
Polygala alpestris,Polygala,Polygalaceae
Polygala chamaebuxus,Polygala,Polygalaceae
Polygala comosa,Polygala,Polygalaceae
Polygala vulgaris,Polygala,Polygalaceae
Rumex sp,Rumex,Polygonaceae
Potentilla erecta,Potentilla,Rosaceae
Potentilla sp ,Potentilla,Rosaceae
Primula sp,Primula,Primulaceae
Primula veris,Primula,Primulaceae
Prunella sp,Prunella,Lamiaceae
Prunella grandiflora,Prunella,Lamiaceae
Prunella vulgaris,Prunella,Lamiaceae
Pteridium aquilinum,Pteridium,Dennstaedtiaceae
Pulsatilla sp,Pulsatilla,Ranunculaceae
Ranunculus acris,Ranunculus,Ranunculaceae
Ranunculus bulbosus,Ranunculus,Ranunculaceae
Ranunculus montanus,Ranunculus,Ranunculaceae
Ranunculus sp,Ranunculus,Ranunculaceae
Ranunculus tuberosus,Ranunculus,Ranunculaceae
Rubus fruticosus,Rubus,Rosaceae
Rosa sp,Rosa,Rosaceae
Salvia pratensis,Salvia,Lamiaceae
Sanguisorba minor,Sanguisorba,Rosaceae
Scabiosa sp,Scabiosa,Caprifoliaceae
Scabiosa columbaria,Scabiosa,Caprifoliaceae
Scabiosa lucida,Scabiosa,Caprifoliaceae
Sedum album,Sedum,Crassulaceae
Sesleria caerulea,Sesleria,Poaceae
Silene nutans,Silene,Caryophyllaceae
Silene vulgaris,Silene,Caryophyllaceae
Soldanella alpina,Soldanella,Primulaceae
Stachys officinalis,Stachys,Lamiaceae
Taraxacum sp,Taraxacum,Asteraceae
Teucrium chamaedrys,Teucrium,Lamiaceae
Teucrium montanum,Teucrium,Lamiaceae
Thymus serpyllum,Thymus,Lamiaceae
Tragopogon pratensis,Tragopogon,Asteraceae
Trifolium montanum,Trifolium,Fabaceae
Trifolium pratense,Trifolium,Fabaceae
Trifolium repens,Trifolium,Fabaceae
Trollius europaeus,Trollius,Ranunculaceae
Tussilago farfara,Tussilago,Asteraceae
Vaccinium vitis-idaea,Vaccinium,Ericaceae
Veratrum album,Veratrum,Melanthiaceae
Veronica sp,Veronica,Plantaginaceae
Veronica chamaedrys,Veronica,Plantaginaceae
Veronica officinalis,Veronica,Plantaginaceae
Veronica spicata,Veronica,Plantaginaceae
Vicia cracca,Vicia,Fabaceae
Vicia sepium,Vicia,Fabaceae
Viola sp,Viola,Violaceae